stop_id,stop_name,stop_lat,stop_lon
92,BALL-EMPIRE,33.81791,-117.954316
93,BALL-BROOKHURST,33.81785,-117.959516
94,BALL-PERDIDO,33.817831,-117.962757
95,BALL-GILBERT,33.817777,-117.968037
96,BALL-WEBSTER,33.817749,-117.970717
97,BALL-MAGNOLIA,33.817699,-117.975513
98,BALL-SHERRILL,33.817659,-117.979997
99,BALL-DALE,33.817607,-117.985103
101,BALL-BEACH,33.817512,-117.994294
102,BALL-HALLIDAY,33.817468,-117.99643
103,BALL-WESTERN,33.817442,-118.001708
104,BALL-WESTVALE,33.817395,-118.007361
105,BALL-KNOTT,33.817347,-118.011759
106,BEACH-BALL,33.818128,-117.993098
107,BEACH-ROME,33.82059,-117.993151
108,BEACH-ORANGE,33.825449,-117.993169
109,BEACH-YOUTH CENTER,33.829002,-117.993234
